OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue May  3 2016 10:55:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,Sun+Sky,1,0.189999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/sun+sky.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,plant c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
12,12:46:18,6680.999995,0,5.953641726,0.04824368,183.8802415,0.79655785,1.6067011,26.04167747,6,1.420000017,1,2.840000033,26.33414841,26.04167747,26.16081238,399.4385681,391.9208984,17.13419342,18.0726223,48.92189407,51.60131836,500.0881653,264.3386841,330.8995056,98.26398468,-11.59946251,1.053501368,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833480275,0.000796558,299.1916775,299.4841484,50.22434935,0.218581919,3.38258898,34.42348681,16.35086451,26.18791294,3.41196095,0.047437844,1.775887881,1.636073069,0.029720014,18.06880524,0.469176924,52.03526701,389.0908223,0.007962134
13,12:56:18,7281.499982,0,6.275726663,0.046917219,167.2923694,0.78505373,1.627269905,26.10039711,6,1.420000017,1,2.840000033,26.33672905,26.10039711,26.15938568,399.8298645,391.9302063,17.06038284,17.98545265,48.69723511,51.33775711,500.0276794,264.3016357,330.6023865,98.25087738,-11.59946251,1.053501368,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833379466,0.000785054,299.2503971,299.486729,50.21731016,0.216816899,3.394356408,34.54784831,16.56239566,26.21856308,3.418145307,0.046154736,1.767086503,1.651058803,0.028914259,16.43662208,0.426842246,51.56647078,388.9470264,0.008320338
Remark=,"""12:56:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13:06:18,7881.999988,0,6.138569751,0.0463396,169.5774956,0.783500186,1.643606457,26.17311096,6,1.420000017,1,2.840000033,26.33841515,26.17311096,26.16042519,399.9274902,392.1942444,17.04753304,17.97062492,48.6485939,51.28282547,500.1150208,264.7734985,331.2322693,98.2365036,-11.36252403,1.041698694,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833525035,0.0007835,299.323111,299.4884151,50.30696409,0.208961398,3.408977817,34.70174215,16.73111722,26.25576305,3.425664389,0.045595627,1.76537136,1.660293029,0.028563187,16.65870026,0.432381398,51.27682904,389.2762623,0.008085939
Remark=,"""13:11:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13:16:18,8481.999995,0,6.019332368,0.043750521,161.8025768,0.743691769,1.650868129,26.18692207,6,1.420000017,1,2.840000033,26.33504105,26.18692207,26.16259766,400.0487976,392.4761658,17.04960442,17.92594147,48.66174316,51.16292191,500.0544434,264.5061035,331.3115845,98.23155212,-11.2989254,0.998325586,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833424072,0.000743692,299.3369221,299.485041,50.25615904,0.22677114,3.411761183,34.73182607,16.8058846,26.26098156,3.426720339,0.043086765,1.760893054,1.665827286,0.026988086,15.89411826,0.412260899,51.05795333,389.6148634,0.007888169
16,13:26:18,9082.499982,0,6.085931922,0.043956814,160.3972121,0.749202975,1.655173807,26.22683144,6,1.420000017,1,2.840000033,26.33724213,26.22683144,26.15958977,400.1499634,392.4958191,17.08289528,17.96557426,48.74642563,51.26516724,500.1205139,264.6424255,331.3724365,98.22349548,-11.2989254,0.998325586,0.666666687,-0.219565243,2.737391472,1,0,0.189999998,111115,0.83353419,0.000749203,299.3768314,299.4872421,50.28206022,0.219035256,3.41981531,34.81667286,16.8510986,26.28203678,3.430983693,0.043286832,1.764641503,1.66634219,0.027113676,15.75477484,0.40865967,51.04624438,389.6028585,0.007973863
Remark=,"""13:26:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13:36:19,9681.999988,0,5.727348778,0.040586589,156.918379,0.701913458,1.67717169,26.31092262,6,1.420000017,1,2.840000033,26.33807373,26.31092262,26.15971184,400.3715515,393.1679077,17.09013367,17.91729927,48.75828171,51.11819077,500.0234985,264.6290894,331.1302185,98.21058655,-10.97958946,0.948005915,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833372498,0.000701913,299.4609226,299.4880737,50.27952635,0.232253198,3.43684016,34.99459968,17.07730041,26.32449818,3.439595554,0.040014736,1.759668471,1.679927083,0.025059966,15.41104605,0.399112888,50.58031339,390.4454004,0.007419503
Remark=,"""13:41:38 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
